name,categoryCluster,category,categoryDescription,typeCluster,type,amount,description
Asian Infrastructure Investment Bank (AIIB),1,Multilateral Development Bank,"Multilateral development bank (MDB) is a financial institution created by a group of countries, including both the developed donor countries and developing borrower countries, for the purpose of promoting economic development.",1,Capital,100,"Formed in 2015, the Beijing-based Asian Infrastructure Investment Bank (AIIB) is a multilateral development bank which finances the construction and improvement of infrastructure under the Belt and Road Initiative (BRI), particularly the energy and transportation projects in Asia, the Middle East, Europe and Africa. "
New Development Bank (NDB),1,Multilateral Development Bank,"Multilateral development bank (MDB) is a financial institution created by a group of countries, including both the developed donor countries and developing borrower countries, for the purpose of promoting economic development.",1,Capital,100,"New Development Bank (NDB) is a multilateral development bank established by Brazil, Russia, India, China and South Africa (BRICS) in 2015 to finance infrastructure and sustainable development projects in BRICS and other emerging economies. As of 2017, NDB has plans to co-finance infrastructure projects with Asian Infrastructure Investment Bank (AIIB), and to commit two-thirds of their portfolio to promoting sustainable infrastructure in water resource management, clean energy and irrigation. "
World Bank,1,Multilateral Development Bank,"Multilateral development bank (MDB) is a financial institution created by a group of countries, including both the developed donor countries and developing borrower countries, for the purpose of promoting economic development.",1,Capital,80,"Beyond provision of finance in infrastructure, trade and connectivity projects to countries along the Belt and Road, the World Bank Group (WBG) engages in studies to assess the effects of the Belt and Road Initiative, and identifies policies and institutions that maximise welfare and mitigate risks for all Belt and Road countries. "
The Asian Development Bank (ADB),1,Multilateral Development Bank,"Multilateral development bank (MDB) is a financial institution created by a group of countries, including both the developed donor countries and developing borrower countries, for the purpose of promoting economic development.",2,MOU,0,"Asian Development Bank (ADB) is an international financial institution based in Manila targeted at reducing poverty in Asia and Pacific regions. In May 2017, it signed a memorium of understanding (MoU) with China along with six other multilateral banks to develop subregional partnership strategies and programs specifically in the CAREC (Afghanistan, Azerbaijan, the People’s Republic of China, Georgia, Kazakhstan, Kyrgyz Republic, Mongolia, Pakistan, Tajikistan, Turkmenistan, and Uzbekistan) countries under the BRI-CAREC Collaboration.  "
European Bank For Reconstruction & Development (EBRD),1,Multilateral Development Bank,"Multilateral development bank (MDB) is a financial institution created by a group of countries, including both the developed donor countries and developing borrower countries, for the purpose of promoting economic development.",3,Indirect Investment,0,"European Bank Reconstruction and Development (EBRD)'s role in the Belt and Road is less towards direct investment in the BRI countries, and more towards being the middle-man in boosting synergies between European and Chinese investment goals through their expertise in the private sectors along the BRI route, policy reform, and advocating for high environmental and social standards in the projects. China has been a member of EBRD since 2015."
The Eurasian Development Bank,1,Multilateral Development Bank,"Multilateral development bank (MDB) is a financial institution created by a group of countries, including both the developed donor countries and developing borrower countries, for the purpose of promoting economic development.",3,Indirect Investment,0,"Eurasian Development Bank (EDB) is an international financial institution founded in 2006 by Russia and Kazakhsta, and currently has four other member states which are the Republic of Armenia, the Republic of Belarus, the Kyrgyz Republic, and the Republic of Tajikistan. Its relevance to the Belt and Road Initiative lies in its strategic geographical location as well as its mission to develop their member states' market economies through investments. "
Investment Facility for Central Asia (IFCA),2,Regional Funds,"A regional fund is a pool of money amassed from many investors to invest in a specified geographical area, such as the Central Asian region, or Southeast Asian region.",1,Capital,1.07,"The Investment Facility for Central Asia (IFCA) is one of the instruments under the Development Cooperation Instrument (DCI) to support the EU Strategy for Central Asia. Its main objective is to intervene and finance projects in the Central Asian region (partner countries include: Kazakhstan, the Kyrgyz Republic, Tajikistan, Turkmenistan and Uzbekistan) in the event that the regular market fails to offer satisfactory or timely financing. "
China-Eurasian Economic Cooperation Fund (CEF),2,Regional Funds,"A regional fund is a pool of money amassed from many investors to invest in a specified geographical area, such as the Central Asian region, or Southeast Asian region.",4,Targeted,5,"Launched in 2014 by China's president Xi Jinping, the China-Eurasian Economic Cooperation Fund (CEF) was created to enhance economic cooperation within the Shanghai Cooperation Organization (SCO) region (comprising of China, Kazakhstan, Kyrgyzstan, Russia, Tajikistan, and Uzbekistan), advance development along the Silk Road Economic Belt, and increase economic cooperation between China and Eurasian countries."
China-ASEAN Investment Cooperation Fund (CAF),2,Regional Funds,"A regional fund is a pool of money amassed from many investors to invest in a specified geographical area, such as the Central Asian region, or Southeast Asian region.",4,Targeted,4,"China-ASEAN Investment Cooperation Fund (CAF) is a Chinese fund sponsored by the Export-Import (Exim) Bank of China, and is focused on the Southeast Asia region. Divided into two tranches, it successfully raised one billion dollars from its first funding from World Bank's International Finance Corporation (IFC) and China Investment Corporation (CIC), and is looking to secure three billion dollars in its second funding from state companies and investors from global institutions."
Silk Road Gold Fund,2,Regional Funds,"A regional fund is a pool of money amassed from many investors to invest in a specified geographical area, such as the Central Asian region, or Southeast Asian region.",4,Targeted,0,"Silk Road Gold Fund is a multilateral investment fund operated by the Shanghai Gold Exchange (SGE) to invest in the mining and extraction projects of precious metals, securing of mining rights and investment in extraction infrastructure. It aims to raise 21.6 billion dollars in three phrases. With regards to the Belt and Road Initiative (BRI), parts of the profits from the fund will be used to build up gold deposits of poorer nations and its investors, and to develop trade and transport infrastructure across Asia and beyond. Even though India is not officially part of BRI, it has invested heavily in the Silk Road Gold Fund, with Shandong Gold Group and Shaanxi Gold Group holding stakes of 35% and 25% respectively. "
